field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
kode_dokumen,Kode Dokumen,varchar,50,true,true,NULL,uppercase,NULL,Kode unik dokumen mutu (contoh: SOP-TKN-001)
judul_dokumen,Judul Dokumen,varchar,500,true,false,NULL,none,NULL,Judul dokumen mutu/SOP
jenis_dokumen,Jenis Dokumen,enum,NULL,true,false,NULL,none,"sop,instruksi_kerja,formulir,panduan,kebijakan_mutu,prosedur,rekaman_mutu,laporan_audit",Jenis dokumen sistem manajemen mutu
versi,Versi,varchar,10,true,false,NULL,none,NULL,Versi dokumen (contoh: 1.0 atau Rev.2)
status_dokumen,Status Dokumen,enum,NULL,true,false,draft,none,"draft,review,disetujui,berlaku,kedaluwarsa,ditarik",Status dokumen dalam siklus hidup
tanggal_terbit,Tanggal Terbit,date,NULL,false,false,NULL,none,NULL,Tanggal dokumen diterbitkan/berlaku
tanggal_revisi,Tanggal Revisi Berikutnya,date,NULL,false,false,NULL,none,NULL,Tanggal review atau revisi berikutnya
penyusun,Penyusun,varchar,255,false,false,NULL,none,NULL,Nama penyusun dokumen
pengesah,Pejabat Pengesah,varchar,255,false,false,NULL,none,NULL,Nama pejabat yang mengesahkan
lingkup,Lingkup Penerapan,text,NULL,false,false,NULL,none,NULL,Lingkup penerapan dokumen
file_dokumen,File Dokumen,varchar,500,false,false,NULL,none,NULL,Path file dokumen terlampir
catatan,Catatan,text,NULL,false,false,NULL,none,NULL,Catatan tambahan
is_active,Status Aktif,boolean,NULL,true,false,1,none,NULL,Flag data aktif
is_sensitive,Tingkat Sensitivitas,enum,NULL,true,false,Biasa,none,"Biasa,Sensitif",Klasifikasi sensitivitas data
created_by,Dibuat Oleh,int,11,true,false,NULL,none,NULL,User ID pembuat
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
