field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
user_id,User ID,int,11,false,false,NULL,none,NULL,FK users.id
username,Username,varchar,50,false,false,NULL,none,NULL,Denormalized
role,Role,varchar,50,false,false,NULL,none,NULL,Role saat aksi
action,Aksi,varchar,50,true,false,NULL,none,NULL,create update delete login logout
module,Modul,varchar,100,true,false,NULL,none,NULL,Modul diakses
record_id,Record ID,int,11,false,false,NULL,none,NULL,ID record
old_value,Nilai Lama,json,NULL,false,false,NULL,none,NULL,JSON before
new_value,Nilai Baru,json,NULL,false,false,NULL,none,NULL,JSON after
ip_address,IP Address,varchar,45,false,false,NULL,none,NULL,IP user
user_agent,User Agent,text,NULL,false,false,NULL,none,NULL,Browser info
is_bypass,Bypass,boolean,NULL,true,false,0,none,NULL,Bypass koordinasi
description,Deskripsi,text,NULL,false,false,NULL,none,NULL,Detail aksi
created_at,Waktu Aksi,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
