field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY092-LY096)
jenis_layanan_cppd,Jenis Layanan CPPD,enum,NULL,true,false,NULL,none,"Perencanaan,Pengadaan,Pengelolaan Stok,Penyaluran Darurat,Evaluasi",Jenis layanan CPPD
periode,Periode,date,NULL,true,false,NULL,none,NULL,Periode perencanaan/pelaksanaan
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
bulan,Bulan,int,2,false,false,NULL,none,NULL,Bulan (jika bulanan)
komoditas_id,Komoditas,int,11,false,false,NULL,none,NULL,FK ke tabel komoditas
nama_komoditas,Nama Komoditas,varchar,255,false,false,NULL,none,NULL,Denormalized (biasanya beras)
kebutuhan_cppd,Kebutuhan CPPD (Ton),decimal,"15,2",false,false,NULL,none,NULL,Kebutuhan CPPD yang direncanakan
dasar_perhitungan,Dasar Perhitungan,text,NULL,false,false,NULL,none,NULL,Dasar perhitungan kebutuhan
target_stok,Target Stok (Ton),decimal,"15,2",false,false,NULL,none,NULL,Target stok yang harus ada
lokasi_penyimpanan,Lokasi Penyimpanan,varchar,255,false,false,NULL,none,NULL,Gudang penyimpanan CPPD
kapasitas_gudang,Kapasitas Gudang (Ton),decimal,"15,2",false,false,NULL,none,NULL,Kapasitas maksimal gudang
