field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY082-LY086)
jenis_monitoring,Jenis Monitoring,enum,NULL,true,false,NULL,none,"Arus Distribusi,Stok Pasar,Hambatan Distribusi,Fasilitasi Kelancaran,Koordinasi Wilayah",Jenis monitoring
periode,Periode,date,NULL,true,false,NULL,none,NULL,Bulan periode (YYYY-MM-01)
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
bulan,Bulan,int,2,true,false,NULL,none,NULL,Bulan (1-12)
komoditas_id,Komoditas,int,11,false,false,NULL,none,NULL,FK ke tabel komoditas
nama_komoditas,Nama Komoditas,varchar,255,false,false,NULL,none,NULL,Denormalized
wilayah_asal,Wilayah Asal,varchar,255,false,false,NULL,none,NULL,Dari mana distribusi
wilayah_tujuan,Wilayah Tujuan,varchar,255,false,false,NULL,none,NULL,Ke mana distribusi
volume_distribusi,Volume Distribusi (Ton),decimal,"15,2",false,false,NULL,none,NULL,Volume yang didistribusikan
satuan,Satuan,varchar,20,false,false,kg,none,NULL,Satuan
moda_transportasi,Moda Transportasi,enum,NULL,false,false,NULL,none,"Darat,Laut,Udara",Transportasi yang digunakan
tanggal_distribusi,Tanggal Distribusi,date,NULL,false,false,NULL,none,NULL,Kapan distribusi dilakukan
frekuensi_distribusi,Frekuensi,int,11,false,false,NULL,none,NULL,Berapa kali distribusi
