field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY112-LY116)
jenis_kegiatan,Jenis Kegiatan,enum,NULL,true,false,NULL,none,"Pengembangan Pangan Lokal,Pemanfaatan Pekarangan,Kampanye,Edukasi B2SA,Pendampingan Kelompok",Jenis kegiatan penganekaragaman
nama_kegiatan,Nama Kegiatan,varchar,255,true,false,NULL,none,NULL,Nama kegiatan/program
tanggal_kegiatan,Tanggal Kegiatan,date,NULL,false,false,NULL,none,NULL,Tanggal pelaksanaan
lokasi_kegiatan,Lokasi,varchar,255,false,false,NULL,none,NULL,Lokasi kegiatan
kabupaten,Kabupaten,varchar,100,false,false,NULL,none,NULL,Kabupaten
kecamatan,Kecamatan,varchar,100,false,false,NULL,none,NULL,Kecamatan
desa,Desa,varchar,100,false,false,NULL,none,NULL,Desa
jenis_pangan_lokal,Jenis Pangan Lokal,text,NULL,false,false,NULL,none,NULL,Pangan lokal yang dikembangkan
potensi_pangan_lokal,Potensi Pangan Lokal,text,NULL,false,false,NULL,none,NULL,Potensi yang ada di wilayah
pengembangan_dilakukan,Pengembangan,text,NULL,false,false,NULL,none,NULL,Bentuk pengembangan
hasil_pengembangan,Hasil Pengembangan,text,NULL,false,false,NULL,none,NULL,Hasil yang dicapai
