field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY127-LY129)
jenis_evaluasi,Jenis Evaluasi,enum,NULL,true,false,NULL,none,"Evaluasi Program Konsumsi,Evaluasi Penganekaragaman,Evaluasi Keamanan Pangan",Jenis evaluasi
periode,Periode,date,NULL,true,false,NULL,none,NULL,Periode evaluasi
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
bulan,Bulan,int,2,false,false,NULL,none,NULL,Bulan (jika bulanan)
triwulan,Triwulan,int,1,false,false,NULL,none,NULL,Triwulan (1-4)
semester,Semester,int,1,false,false,NULL,none,NULL,Semester (1-2)
judul_evaluasi,Judul Evaluasi,varchar,255,true,false,NULL,none,NULL,Judul laporan evaluasi
objek_evaluasi,Objek Evaluasi,varchar,255,false,false,NULL,none,NULL,Apa yang dievaluasi
tujuan_evaluasi,Tujuan Evaluasi,text,NULL,false,false,NULL,none,NULL,Tujuan evaluasi
metode_evaluasi,Metode Evaluasi,enum,NULL,false,false,NULL,none,"Desk Evaluation,Field Visit,Survey,Interview,FGD,Kombinasi",Metode evaluasi
tim_evaluasi,Tim Evaluasi,text,NULL,false,false,NULL,none,NULL,Anggota tim evaluasi
tanggal_evaluasi,Tanggal Evaluasi,date,NULL,false,false,NULL,none,NULL,Kapan evaluasi dilakukan
