field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,Sekretariat,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit pengelola aset (BARU - untuk integrasi multi-unit)
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY023-LY029)
kode_aset,Kode Aset,varchar,50,false,false,NULL,none,NULL,Kode barang milik daerah
nama_aset,Nama Aset,varchar,255,true,false,NULL,none,NULL,Nama barang
kategori_aset,Kategori,enum,NULL,true,false,NULL,none,"Tanah,Peralatan dan Mesin,Gedung dan Bangunan,Jalan Irigasi dan Jaringan,Aset Tetap Lainnya,Konstruksi Dalam Pengerjaan",Kategori aset
merk_type,Merk/Type,varchar,255,false,false,NULL,none,NULL,Merk dan tipe
nomor_seri,Nomor Seri,varchar,100,false,false,NULL,none,NULL,Serial number
tahun_perolehan,Tahun Perolehan,int,4,false,false,NULL,none,NULL,Tahun dapat aset
cara_perolehan,Cara Perolehan,enum,NULL,false,false,NULL,none,"Pembelian,Hibah,Donasi,Transfer,Lainnya",Cara dapat aset
harga_perolehan,Harga Perolehan,decimal,"15,2",false,false,NULL,none,NULL,Harga saat perolehan
nilai_buku,Nilai Buku,decimal,"15,2",false,false,NULL,none,NULL,Nilai buku saat ini
kondisi,Kondisi,enum,NULL,true,false,Baik,none,"Baik,Rusak Ringan,Rusak Berat",Kondisi aset
lokasi,Lokasi,varchar,255,false,false,NULL,none,NULL,Dimana aset berada
ruangan,Ruangan,varchar,100,false,false,NULL,none,NULL,Ruangan spesifik
penanggung_jawab_aset,Penanggung Jawab Aset,varchar,255,false,false,NULL,none,NULL,Pengguna aset
qr_code,QR Code,varchar,255,false,false,NULL,none,NULL,QR code untuk tracking
tanggal_inventarisasi,Tanggal Inventarisasi,date,NULL,false,false,NULL,none,NULL,Terakhir inventarisasi
tanggal_pemeliharaan_terakhir,Pemeliharaan Terakhir,date,NULL,false,false,NULL,none,NULL,Tanggal pemeliharaan
tanggal_pemeliharaan_berikutnya,Pemeliharaan Berikutnya,date,NULL,false,false,NULL,none,NULL,Jadwal pemeliharaan
biaya_pemeliharaan,Biaya Pemeliharaan,decimal,"15,2",false,false,NULL,none,NULL,Biaya maintenance
jenis_pemeliharaan,Jenis Pemeliharaan,enum,NULL,false,false,NULL,none,"Rutin,Berkala,Darurat",Jenis pemeliharaan
status_aset,Status Aset,enum,NULL,true,false,Aktif,none,"Aktif,Tidak Digunakan,Rusak,Dalam Perbaikan,Akan Dihapus,Dihapuskan",Status
alasan_penghapusan,Alasan Penghapusan,text,NULL,false,false,NULL,none,NULL,Jika akan dihapus
tanggal_penghapusan,Tanggal Penghapusan,date,NULL,false,false,NULL,none,NULL,Tanggal SK penghapusan
nomor_sk_penghapusan,Nomor SK Penghapusan,varchar,100,false,false,NULL,none,NULL,SK penghapusan aset
file_foto,Foto Aset,varchar,255,false,false,NULL,none,NULL,Upload foto aset
file_bast,File BAST,varchar,255,false,false,NULL,none,NULL,Berita Acara Serah Terima
file_sk,File SK,varchar,255,false,false,NULL,none,NULL,SK terkait aset
penanggung_jawab,Penanggung Jawab,varchar,255,true,false,Kasubbag Umum,none,NULL,PIC layanan
pelaksana,Pelaksana,varchar,255,true,false,NULL,none,NULL,Yang melaksanakan
is_sensitive,Tingkat Sensitivitas,enum,NULL,true,false,Biasa,none,"Biasa,Sensitif",Klasifikasi data
keterangan,Keterangan,text,NULL,false,false,NULL,none,NULL,Catatan
created_by,Dibuat Oleh,int,11,true,false,NULL,none,NULL,User ID
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
