field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,Sekretariat,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit pengelola anggaran (BARU - untuk integrasi multi-unit)
kode_unit,Kode Unit,varchar,10,true,false,00,none,NULL,Kode unit untuk RKA/DPA (BARU - 00=Sekretariat 01=UPTD 02=Bid.Ketersediaan dll)
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY016-LY022)
tahun_anggaran,Tahun Anggaran,int,4,true,false,NULL,none,NULL,Tahun anggaran
jenis_layanan_keuangan,Jenis Layanan,enum,NULL,true,false,NULL,none,"RKA/DPA,Belanja,Pencairan,SPJ,Laporan,Revisi,Monitoring",Jenis layanan keuangan
nomor_dpa,Nomor DPA,varchar,100,false,false,NULL,none,NULL,Nomor DPA
kode_rekening,Kode Rekening,varchar,50,false,false,NULL,none,NULL,Kode rekening belanja
nama_rekening,Nama Rekening,varchar,255,false,false,NULL,none,NULL,Nama rekening
pagu_anggaran,Pagu Anggaran,decimal,"15,2",false,false,NULL,none,NULL,Total pagu
realisasi,Realisasi,decimal,"15,2",false,false,0,none,NULL,Realisasi pengeluaran
sisa_anggaran,Sisa Anggaran,decimal,"15,2",false,false,NULL,none,NULL,Pagu - Realisasi
persentase_realisasi,Persentase Realisasi,decimal,"5,2",false,false,NULL,none,NULL,Auto-calculate
jenis_belanja,Jenis Belanja,enum,NULL,false,false,NULL,none,"Belanja Pegawai,Belanja Barang,Belanja Modal",Jenis belanja
uraian_belanja,Uraian Belanja,text,NULL,false,false,NULL,none,NULL,Detail belanja
keperluan,Keperluan,text,NULL,false,false,NULL,none,NULL,Untuk apa
penerima_uang,Penerima Uang,varchar,255,false,false,NULL,none,NULL,Nama penerima
tanggal_pencairan,Tanggal Pencairan,date,NULL,false,false,NULL,none,NULL,Tanggal dana cair
jumlah_pencairan,Jumlah Pencairan,decimal,"15,2",false,false,NULL,none,NULL,Nominal pencairan
nomor_spj,Nomor SPJ,varchar,100,false,false,NULL,none,NULL,Nomor SPJ
tanggal_spj,Tanggal SPJ,date,NULL,false,false,NULL,none,NULL,Tanggal SPJ
status_spj,Status SPJ,enum,NULL,false,false,NULL,none,"Belum SPJ,SPJ Lengkap,SPJ Kurang,Diverifikasi,Ditolak",Status SPJ
jenis_revisi,Jenis Revisi,enum,NULL,false,false,NULL,none,"Revisi Anggaran,Pergeseran,Tambahan",Jenis revisi
alasan_revisi,Alasan Revisi,text,NULL,false,false,NULL,none,NULL,Alasan revisi anggaran
file_dpa,File DPA,varchar,255,false,false,NULL,none,NULL,Upload DPA PDF
file_spj,File SPJ,varchar,255,false,false,NULL,none,NULL,Upload bukti SPJ
file_bukti,File Bukti,json,NULL,false,false,NULL,none,NULL,Array file bukti (kwitansi dll)
file_laporan,File Laporan,varchar,255,false,false,NULL,none,NULL,Laporan keuangan PDF
penanggung_jawab,Penanggung Jawab,varchar,255,true,false,Bendahara,none,NULL,PIC
pelaksana,Pelaksana,varchar,255,true,false,NULL,none,NULL,Yang melaksanakan
is_sensitive,Tingkat Sensitivitas,enum,NULL,true,false,Sensitif,none,"Biasa,Sensitif",Data keuangan sensitif
status,Status,enum,NULL,true,false,pending,none,"pending,proses,diverifikasi,disetujui,ditolak,selesai",Status
keterangan,Keterangan,text,NULL,false,false,NULL,none,NULL,Catatan
created_by,Dibuat Oleh,int,11,true,false,NULL,none,NULL,User ID
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
