field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY161-LY176)
jenis_layanan_mutu,Jenis Layanan,enum,NULL,true,false,NULL,none,"Penjaminan Mutu,Verifikasi Kepatuhan,Pengendalian Mutu,Pengelolaan Temuan,Penyusunan SOP,Review SOP,Standar Layanan,Sosialisasi,Pelatihan Auditor,Sertifikasi Auditor,Evaluasi Auditor,Database Auditor,Supervisi Audit,Evaluasi Sertifikasi,Rekomendasi Mutu,Laporan Mutu",Jenis layanan manajemen mutu
nomor_dokumen_mutu,Nomor Dokumen,varchar,100,false,false,NULL,none,NULL,Nomor dokumen mutu/SOP
judul_dokumen,Judul Dokumen,varchar,255,false,false,NULL,none,NULL,Judul SOP/dokumen mutu
tanggal_dokumen,Tanggal Dokumen,date,NULL,false,false,NULL,none,NULL,Tanggal ditetapkan
versi,Versi,varchar,20,false,false,1.0,none,NULL,Versi dokumen
status_dokumen,Status Dokumen,enum,NULL,false,false,NULL,none,"Draft,Review,Approved,Active,Obsolete",Status dokumen
objek_verifikasi,Objek Verifikasi,varchar,255,false,false,NULL,none,NULL,Apa yang diverifikasi
standar_kepatuhan,Standar Kepatuhan,varchar,255,false,false,NULL,none,NULL,Standar yang harus dipenuhi (SNI ISO dll)
hasil_verifikasi,Hasil Verifikasi,enum,NULL,false,false,NULL,none,"Sesuai,Tidak Sesuai,Perlu Perbaikan",Hasil verifikasi
catatan_verifikasi,Catatan Verifikasi,text,NULL,false,false,NULL,none,NULL,Catatan hasil verifikasi
jenis_audit_mutu,Jenis Audit Mutu,enum,NULL,false,false,NULL,none,"Audit Internal,Audit Eksternal,Surveillance,Witnessing",Jenis audit mutu
tanggal_audit_mutu,Tanggal Audit,date,NULL,false,false,NULL,none,NULL,Tanggal audit mutu
auditor_mutu,Auditor,varchar,255,false,false,NULL,none,NULL,Nama auditor mutu
hasil_audit_mutu,Hasil Audit,text,NULL,false,false,NULL,none,NULL,Hasil audit mutu
temuan_mayor,Temuan Mayor,text,NULL,false,false,NULL,none,NULL,Temuan mayor (critical)
temuan_minor,Temuan Minor,text,NULL,false,false,NULL,none,NULL,Temuan minor
observasi,Observasi,text,NULL,false,false,NULL,none,NULL,Catatan observasi
tindakan_korektif_mutu,Tindakan Korektif,text,NULL,false,false,NULL,none,NULL,Tindakan perbaikan
penanggung_jawab_perbaikan,PJ Perbaikan,varchar,255,false,false,NULL,none,NULL,Penanggung jawab tindakan korektif
batas_waktu_perbaikan_mutu,Batas Waktu,date,NULL,false,false,NULL,none,NULL,Deadline perbaikan
status_perbaikan,Status Perbaikan,enum,NULL,false,false,NULL,none,"Open,In Progress,Closed,Verified",Status tindakan korektif
kode_sop,Kode SOP,varchar,50,false,false,NULL,none,NULL,Kode SOP
nama_sop,Nama SOP,varchar,255,false,false,NULL,none,NULL,Nama/judul SOP
lingkup_sop,Lingkup SOP,text,NULL,false,false,NULL,none,NULL,Ruang lingkup SOP
tujuan_sop,Tujuan SOP,text,NULL,false,false,NULL,none,NULL,Tujuan SOP
definisi,Definisi,text,NULL,false,false,NULL,none,NULL,Definisi istilah
prosedur,Prosedur,text,NULL,false,false,NULL,none,NULL,Langkah-langkah prosedur
flowchart,Flowchart,varchar,255,false,false,NULL,none,NULL,File flowchart (PNG/PDF)
formulir_terkait,Formulir Terkait,text,NULL,false,false,NULL,none,NULL,Formulir yang digunakan
dokumen_terkait,Dokumen Terkait,text,NULL,false,false,NULL,none,NULL,Dokumen referensi
