requirement_id,modul_id,section,type,name,status,file,line,snippet,confidence,recommendation,severity,time
heading-0-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,11-System-Architecture-Document,heading,11-System-Architecture-Document,OK,backend/controllers/modulController.js,1,// Modul: 11-System-Architecture-Document ,0.8,Sudah ada implementasi heading 11-System-Architecture-Document,info,2026-03-17T15:57:39.853Z
heading-1-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,Layered Architecture,heading,Layered Architecture,OK,backend/controllers/modulController.js,1,// Modul: Layered Architecture ,0.8,Sudah ada implementasi heading Layered Architecture,info,2026-03-17T15:57:39.854Z
heading-2-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,Integration Layer,heading,Integration Layer,OK,backend/controllers/modulController.js,1,// Modul: Integration Layer ,0.8,Sudah ada implementasi heading Integration Layer,info,2026-03-17T15:57:39.854Z
heading-3-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,Access Control,heading,Access Control,OK,backend/controllers/modulController.js,1,// Modul: Access Control ,0.8,Sudah ada implementasi heading Access Control,info,2026-03-17T15:57:39.854Z
heading-4-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,Logging & Monitoring,heading,Logging & Monitoring,OK,backend/controllers/modulController.js,1,// Modul: Logging & Monitoring ,0.8,Sudah ada implementasi heading Logging & Monitoring,info,2026-03-17T15:57:39.854Z
heading-5-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,Keamanan Informasi,heading,Keamanan Informasi,OK,backend/controllers/modulController.js,1,// Modul: Keamanan Informasi ,0.8,Sudah ada implementasi heading Keamanan Informasi,info,2026-03-17T15:57:39.854Z
heading-6-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,Manajemen Risiko,heading,Manajemen Risiko,OK,backend/controllers/modulController.js,1,// Modul: Manajemen Risiko ,0.8,Sudah ada implementasi heading Manajemen Risiko,info,2026-03-17T15:57:39.854Z
bullet-7-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Presentation Layer: React, Vite, Tailwind",OK,backend/models/validator.js,10,"// Validasi: Presentation Layer: React, Vite, Tailwind (indent: 1)",0.7,"Sudah ada implementasi bullet Presentation Layer: React, Vite, Tailwind",info,2026-03-17T15:57:39.854Z
bullet-8-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"API Layer: Express.js, JWT, OpenAPI",OK,backend/models/validator.js,10,"// Validasi: API Layer: Express.js, JWT, OpenAPI (indent: 1)",0.7,"Sudah ada implementasi bullet API Layer: Express.js, JWT, OpenAPI",info,2026-03-17T15:57:39.854Z
bullet-9-E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,E:\sigap-malut\dokumenSistem\13-System-Architecture-Document.md,,bullet,"Business Logic Layer: Node.js, Service, Middleware",OK,backend/models/validator.js,10,"// Validasi: Business Logic Layer: Node.js, Service, Middleware (indent: 1)",0.7,"Sudah ada implementasi bullet Business Logic Layer: Node.js, Service, Middleware",info,2026-03-17T15:57:39.854Z
