layanan_id,layanan_code,layanan_name,modul_ui_id,is_sensitive,penanggung_jawab,pelaksana,status_aktif,menu_order
LY001,administrasi_umum,Administrasi Umum,SEK-ADM,Biasa,Kasubbag Umum,Staff Umum,true,1
LY002,tata_naskah_dinas,Tata Naskah Dinas,SEK-ADM,Sensitif,Kasubbag Umum,Staff Tata Usaha,true,2
LY003,kearsipan_dinamis_statis,Kearsipan Dinamis & Statis,SEK-ADM,Sensitif,Kasubbag Umum,Arsiparis,true,3
LY004,agenda_disposisi_pimpinan,Agenda & Disposisi Pimpinan,SEK-ADM,Biasa,Kasubbag Umum,Staff TU,true,4
LY005,administrasi_rapat,Administrasi Rapat,SEK-ADM,Biasa,Kasubbag Umum,Staff Umum,true,5
LY006,dokumentasi_administrasi,Dokumentasi Administrasi,SEK-ADM,Biasa,Kasubbag Umum,Staff Dokumentasi,true,6
LY007,perjalanan_dinas,Perjalanan Dinas,SEK-RMH,Sensitif,Kasubbag Umum,Staff Umum,true,1
LY008,data_induk_asn,Data Induk ASN,SEK-KEP,Sensitif,Kasubbag Kepegawaian,Staff Kepegawaian,true,1
LY009,kenaikan_pangkat,Kenaikan Pangkat,SEK-KEP,Sensitif,Kasubbag Kepegawaian,Staff Kepegawaian,true,2
LY010,mutasi_jabatan_internal,Mutasi & Jabatan Internal,SEK-KEP,Sensitif,Kasubbag Kepegawaian,Staff Kepegawaian,true,3
LY011,gaji_tunjangan,Gaji & Tunjangan,SEK-KEP,Sensitif,Kasubbag Kepegawaian,Staff Keuangan,true,4
LY012,cuti_absensi,Cuti & Absensi,SEK-KEP,Sensitif,Kasubbag Kepegawaian,Staff Kepegawaian,true,5
LY013,penilaian_kinerja_asn,Penilaian Kinerja ASN (SKP),SEK-KEP,Sensitif,Kasubbag Kepegawaian,Staff Kepegawaian,true,6
LY014,disiplin_sanksi,Disiplin & Sanksi,SEK-KEP,Sensitif,Kasubbag Kepegawaian,Staff Kepegawaian,true,7
LY015,pensiun_purna_bakti,Pensiun & Purna Bakti,SEK-KEP,Sensitif,Kasubbag Kepegawaian,Staff Kepegawaian,true,8
