field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
tahun,Tahun Renja,int,4,true,true,NULL,min:2000,NULL,Tahun perencanaan
renstra_id,Renstra ID,int,11,false,false,NULL,none,NULL,Relasi ke Renstra
aopd,OPD Penanggung Jawab,varchar,255,true,false,NULL,none,NULL,Perangkat daerah penyusun
kode_program,Kode Program,varchar,50,true,false,NULL,none,NULL,
nama_program,Nama Program,varchar,255,true,false,NULL,none,NULL,
kode_kegiatan,Kode Kegiatan,varchar,50,true,false,NULL,none,NULL,
nama_kegiatan,Nama Kegiatan,varchar,255,true,false,NULL,none,NULL,
kode_sub_kegiatan,Kode Sub Kegiatan,varchar,50,true,false,NULL,none,NULL,
nama_sub_kegiatan,Nama Sub Kegiatan,varchar,255,true,false,NULL,none,NULL,
indikator_kinerja,Indikator Kinerja,text,NULL,true,false,NULL,none,NULL,
target_tahun,Target Tahun,decimal,"12,2",true,false,NULL,number,NULL,
satuan_target,Satuan,enum,NULL,true,false,NULL,none,"unit,persen,km,hektar,juta",Satuan target
pagu_anggaran,Pagu Anggaran,decimal,"15,2",true,false,0,number,NULL,Rencana pagu
status,Status,enum,NULL,true,false,draft,none,"draft,disetujui,final,publish",Tahap dokumen
epelara_renja_id,ID Renja e-Pelara,varchar,100,false,false,NULL,none,NULL,Mapping eksternal
sinkronisasi_status,Status Sinkronisasi,enum,NULL,true,false,belum_sinkron,none,"belum_sinkron,sinkron,perlu_revisi",Status sinkronisasi
dibuat_oleh,Dibuat Oleh,int,11,false,false,NULL,none,NULL,
disetujui_oleh,Disetujui Oleh,int,11,false,false,NULL,none,NULL,
disetujui_at,Disetujui Pada,timestamp,NULL,false,false,NULL,none,NULL,
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
