field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY097-LY101)
jenis_bimbingan,Jenis Bimbingan,enum,NULL,true,false,NULL,none,"Bimtek Distribusi,Bimtek CPPD,Supervisi Lapangan,Konsultasi Teknis,Fasilitasi Stakeholder",Jenis bimbingan
nama_kegiatan,Nama Kegiatan,varchar,255,true,false,NULL,none,NULL,Nama kegiatan
tanggal_kegiatan,Tanggal Kegiatan,date,NULL,true,false,NULL,none,NULL,Tanggal pelaksanaan
waktu_mulai,Waktu Mulai,time,NULL,false,false,NULL,none,NULL,Jam mulai
waktu_selesai,Waktu Selesai,time,NULL,false,false,NULL,none,NULL,Jam selesai
tempat,Tempat,varchar,255,false,false,NULL,none,NULL,Lokasi kegiatan
kabupaten,Kabupaten,varchar,100,false,false,NULL,none,NULL,Kabupaten
sasaran_peserta,Sasaran Peserta,varchar,255,false,false,NULL,none,NULL,Aparatur/pelaku usaha/masyarakat
jumlah_peserta,Jumlah Peserta,int,11,false,false,NULL,none,NULL,Total peserta
narasumber,Narasumber,varchar,255,false,false,NULL,none,NULL,Nama narasumber
fasilitator,Fasilitator,varchar,255,false,false,NULL,none,NULL,Nama fasilitator
materi_bimbingan,Materi Bimbingan,text,NULL,false,false,NULL,none,NULL,Materi yang diberikan
metode_pelaksanaan,Metode Pelaksanaan,enum,NULL,false,false,NULL,none,"Tatap Muka,Online,Hybrid,Kunjungan Lapangan",Metode
area_supervisi,Area Supervisi,varchar,255,false,false,NULL,none,NULL,Wilayah yang disupervisi
objek_supervisi,Objek Supervisi,varchar,255,false,false,NULL,none,NULL,Apa yang disupervisi (gudang/pasar/distribusi)
temuan_supervisi,Temuan Supervisi,text,NULL,false,false,NULL,none,NULL,Temuan saat supervisi
rekomendasi_supervisi,Rekomendasi Supervisi,text,NULL,false,false,NULL,none,NULL,Rekomendasi perbaikan
topik_konsultasi,Topik Konsultasi,varchar,255,false,false,NULL,none,NULL,Topik yang dikonsultasikan
pemohon_konsultasi,Pemohon Konsultasi,varchar,255,false,false,NULL,none,NULL,Siapa yang konsultasi
instansi_pemohon,Instansi Pemohon,varchar,255,false,false,NULL,none,NULL,Asal instansi
permasalahan_konsultasi,Permasalahan,text,NULL,false,false,NULL,none,NULL,Masalah yang dikonsultasikan
jawaban_konsultasi,Jawaban Konsultasi,text,NULL,false,false,NULL,none,NULL,Jawaban/solusi yang diberikan
stakeholder_difasilitasi,Stakeholder Difasilitasi,text,NULL,false,false,NULL,none,NULL,Pihak-pihak yang difasilitasi
topik_fasilitasi,Topik Fasilitasi,varchar,255,false,false,NULL,none,NULL,Topik fasilitasi
hasil_fasilitasi,Hasil Fasilitasi,text,NULL,false,false,NULL,none,NULL,Hasil fasilitasi
output_kegiatan,Output Kegiatan,text,NULL,false,false,NULL,none,NULL,Output yang dihasilkan
outcome_kegiatan,Outcome Kegiatan,text,NULL,false,false,NULL,none,NULL,Outcome yang dicapai
evaluasi_kegiatan,Evaluasi Kegiatan,text,NULL,false,false,NULL,none,NULL,Evaluasi pelaksanaan
tindak_lanjut,Tindak Lanjut,text,NULL,false,false,NULL,none,NULL,Rencana tindak lanjut
biaya_kegiatan,Biaya Kegiatan,decimal,"15,2",false,false,NULL,none,NULL,Biaya pelaksanaan
sumber_anggaran,Sumber Anggaran,varchar,255,false,false,NULL,none,NULL,APBD/APBN
file_materi,File Materi,json,NULL,false,false,NULL,none,NULL,Array file materi
file_daftar_hadir,File Daftar Hadir,varchar,255,false,false,NULL,none,NULL,Daftar hadir
file_dokumentasi,File Dokumentasi,json,NULL,false,false,NULL,none,NULL,Foto dokumentasi
file_laporan,File Laporan,varchar,255,false,false,NULL,none,NULL,Laporan kegiatan
rincian_layanan,Rincian Layanan,text,NULL,false,false,NULL,none,NULL,Detail layanan
penanggung_jawab,Penanggung Jawab,varchar,255,true,false,Kepala Bidang Distribusi,none,NULL,PIC
pelaksana,Pelaksana,varchar,255,true,false,NULL,none,NULL,Yang melaksanakan
kelompok_penerima,Kelompok Penerima,varchar,255,false,false,NULL,none,NULL,Siapa yang terima
jenis_data,Jenis Data,varchar,255,false,false,NULL,none,NULL,Jenis data
is_sensitive,Tingkat Sensitivitas,enum,NULL,true,false,Biasa,none,"Biasa,Sensitif",Data bimbingan biasa
status,Status,enum,NULL,true,false,perencanaan,none,"perencanaan,pelaksanaan,selesai",Status
keterangan,Keterangan,text,NULL,false,false,NULL,none,NULL,Catatan
created_by,Dibuat Oleh,int,11,true,false,NULL,none,NULL,User ID
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
