field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY087-LY091)
jenis_layanan_harga,Jenis Layanan,enum,NULL,true,false,NULL,none,"Pemantauan Harga,Analisis Fluktuasi,Rekomendasi Stabilisasi,Operasi Pasar,Koordinasi TPID",Jenis layanan harga
periode,Periode,date,NULL,true,false,NULL,none,NULL,Bulan periode
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
bulan,Bulan,int,2,true,false,NULL,none,NULL,Bulan (1-12)
komoditas_id,Komoditas,int,11,false,false,NULL,none,NULL,FK ke tabel komoditas
nama_komoditas,Nama Komoditas,varchar,255,false,false,NULL,none,NULL,Denormalized
pasar_id,Pasar,int,11,false,false,NULL,none,NULL,FK ke tabel pasar
nama_pasar,Nama Pasar,varchar,255,false,false,NULL,none,NULL,Denormalized
tanggal_pantau,Tanggal Pantau,date,NULL,false,false,NULL,none,NULL,Tanggal pemantauan harga
harga,Harga (Rp),decimal,"15,2",false,false,NULL,none,NULL,Harga per satuan
satuan,Satuan,varchar,20,false,false,kg,none,NULL,Satuan harga
harga_bulan_lalu,Harga Bulan Lalu (Rp),decimal,"15,2",false,false,NULL,none,NULL,Harga bulan sebelumnya
perubahan_harga,Perubahan Harga (Rp),decimal,"15,2",false,false,NULL,none,NULL,Selisih harga
