field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY062-LY065)
jenis_kerawanan,Jenis Kerawanan,enum,NULL,true,false,NULL,none,"Identifikasi,Peta Kerawanan,Rencana Aksi,Koordinasi Lintas Sektor",Jenis kerawanan
periode,Periode,date,NULL,true,false,NULL,none,NULL,Periode pemetaan/identifikasi
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
kabupaten,Kabupaten,varchar,100,true,false,NULL,none,NULL,Kabupaten
kecamatan,Kecamatan,varchar,100,false,false,NULL,none,NULL,Kecamatan
desa,Desa,varchar,100,false,false,NULL,none,NULL,Desa
latitude,Latitude,decimal,"10,8",false,false,NULL,none,NULL,Koordinat GPS latitude
longitude,Longitude,decimal,"11,8",false,false,NULL,none,NULL,Koordinat GPS longitude
tingkat_kerawanan,Tingkat Kerawanan,enum,NULL,true,false,NULL,none,"Prioritas 1,Prioritas 2,Prioritas 3,Prioritas 4,Prioritas 5,Prioritas 6",Prioritas kerawanan (1=paling rawan)
skor_kerawanan,Skor Kerawanan,decimal,"5,2",false,false,NULL,none,NULL,Skor hasil perhitungan
indikator_ketersediaan_pangan,Indikator Ketersediaan Pangan,decimal,"5,2",false,false,NULL,none,NULL,Skor indikator ketersediaan
indikator_akses_pangan,Indikator Akses Pangan,decimal,"5,2",false,false,NULL,none,NULL,Skor indikator akses
