field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY057-LY061)
jenis_pengendalian,Jenis Pengendalian,enum,NULL,true,false,NULL,none,"Pemantauan Produksi,Pemantauan Pasokan,Neraca Pangan,Early Warning,Sistem Informasi",Jenis pengendalian
periode,Periode,date,NULL,true,false,NULL,none,NULL,Bulan periode (YYYY-MM-01)
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
bulan,Bulan,int,2,true,false,NULL,none,NULL,Bulan (1-12)
komoditas_id,Komoditas,int,11,false,false,NULL,none,NULL,FK ke tabel komoditas (jika spesifik komoditas)
nama_komoditas,Nama Komoditas,varchar,255,false,false,NULL,none,NULL,Denormalized
kabupaten,Kabupaten,varchar,100,false,false,NULL,none,NULL,Wilayah
kecamatan,Kecamatan,varchar,100,false,false,NULL,none,NULL,Kecamatan
luas_tanam,Luas Tanam (Ha),decimal,"15,2",false,false,NULL,none,NULL,Luas tanam
luas_panen,Luas Panen (Ha),decimal,"15,2",false,false,NULL,none,NULL,Luas panen
produktivitas,Produktivitas (Ton/Ha),decimal,"10,2",false,false,NULL,none,NULL,Produktivitas
produksi_total,Produksi Total (Ton),decimal,"15,2",false,false,NULL,none,NULL,Total produksi
target_produksi,Target Produksi (Ton),decimal,"15,2",false,false,NULL,none,NULL,Target produksi
