field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
unit_kerja,Unit Kerja,enum,NULL,true,false,NULL,none,"Sekretariat,UPTD,Bidang Ketersediaan,Bidang Distribusi,Bidang Konsumsi",Unit yang input data (AUTO-SET sesuai bidang)
reported_to_sekretariat,Dilaporkan ke Sekretariat,boolean,NULL,true,false,0,none,NULL,Sudah dilaporkan ke Sekretariat untuk konsolidasi
reported_at,Tanggal Lapor ke Sekretariat,timestamp,NULL,false,false,NULL,none,NULL,Kapan dilaporkan ke Sekretariat
sekretariat_notes,Catatan Sekretariat,text,NULL,false,false,NULL,none,NULL,Catatan dari Sekretaris saat review/konsolidasi
layanan_id,Layanan,varchar,10,true,false,NULL,none,NULL,FK ke layanan_menpanrb (LY117-LY121)
jenis_kegiatan_keamanan,Jenis Kegiatan,enum,NULL,true,false,NULL,none,"Pembinaan Pangan Segar,Sosialisasi Pangan Aman,Fasilitasi PSAT,Koordinasi Pengawasan,Rekomendasi Teknis",Jenis kegiatan keamanan pangan
tanggal_kegiatan,Tanggal Kegiatan,date,NULL,false,false,NULL,none,NULL,Tanggal pelaksanaan
lokasi,Lokasi,varchar,255,false,false,NULL,none,NULL,Lokasi kegiatan
objek_pembinaan,Objek Pembinaan,varchar,255,false,false,NULL,none,NULL,Pasar/UMKM/Rumah Makan/dll
jenis_pangan_segar,Jenis Pangan Segar,text,NULL,false,false,NULL,none,NULL,Pangan segar yang dibina (sayur buah daging ikan)
aspek_pembinaan,Aspek Pembinaan,text,NULL,false,false,NULL,none,NULL,Aspek yang dibina (kebersihan handling penyimpanan)
jumlah_pelaku_dibina,Jumlah Pelaku Dibina,int,11,false,false,NULL,none,NULL,Jumlah pedagang/pelaku yang dibina
hasil_pembinaan,Hasil Pembinaan,text,NULL,false,false,NULL,none,NULL,Hasil pembinaan
tindak_lanjut_pembinaan,Tindak Lanjut,text,NULL,false,false,NULL,none,NULL,Tindak lanjut pembinaan
materi_sosialisasi,Materi Sosialisasi,text,NULL,false,false,NULL,none,NULL,Materi sosialisasi pangan aman
