field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
layanan_id,Layanan,varchar,10,true,false,LY050,none,NULL,FK ke layanan_menpanrb
periode,Periode,date,NULL,true,false,NULL,none,NULL,Bulan periode laporan
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
bulan,Bulan,int,2,true,false,NULL,none,NULL,Bulan (1-12)
skor_pph,Skor PPH,decimal,"5,2",false,false,NULL,none,NULL,Skor Pola Pangan Harapan
target_pph,Target PPH,decimal,"5,2",false,false,90,none,NULL,Target PPH
status_pph,Status PPH,enum,NULL,false,false,NULL,none,"On Target,Di Bawah Target",Status PPH
konsumsi_kalori_per_kapita,Konsumsi Kalori (Kkal/Kap/Hari),decimal,"10,2",false,false,NULL,none,NULL,Rata-rata konsumsi kalori
konsumsi_protein_per_kapita,Konsumsi Protein (g/Kap/Hari),decimal,"10,2",false,false,NULL,none,NULL,Rata-rata konsumsi protein
total_penerima_sppg,Total Penerima SPPG,int,11,false,false,NULL,none,NULL,Jumlah penerima SPPG
distribusi_sppg_realisasi,Realisasi Distribusi SPPG (Ton),decimal,"15,2",false,false,NULL,none,NULL,Realisasi distribusi SPPG
program_mbg_penerima,Penerima MBG,int,11,false,false,NULL,none,NULL,Penerima Makan Bergizi Gratis
program_diversifikasi,Program Diversifikasi,int,11,false,false,NULL,none,NULL,Jumlah program diversifikasi
inspeksi_keamanan_pangan,Inspeksi Dilakukan,int,11,false,false,NULL,none,NULL,Jumlah inspeksi keamanan pangan
pangan_aman,Pangan Aman,int,11,false,false,NULL,none,NULL,Hasil inspeksi: aman
pangan_tidak_aman,Pangan Tidak Aman,int,11,false,false,NULL,none,NULL,Hasil inspeksi: tidak aman
kasus_keracunan,Kasus Keracunan,int,11,false,false,0,none,NULL,Jumlah kasus keracunan pangan
korban_keracunan,Korban Keracunan,int,11,false,false,0,none,NULL,Jumlah korban
tindakan_terhadap_keracunan,Tindakan,text,NULL,false,false,NULL,none,NULL,Tindakan atas keracunan
edukasi_dilakukan,Edukasi Dilakukan,int,11,false,false,NULL,none,NULL,Jumlah kegiatan edukasi
peserta_edukasi,Peserta Edukasi,int,11,false,false,NULL,none,NULL,Total peserta edukasi
analisis,Analisis,text,NULL,false,false,NULL,none,NULL,Analisis kondisi konsumsi & keamanan
rekomendasi,Rekomendasi,text,NULL,false,false,NULL,none,NULL,Rekomendasi tindakan
sumber_data,Sumber Data,varchar,255,false,false,Bidang Konsumsi & Keamanan Pangan,none,NULL,Dari bidang mana
file_laporan,File Laporan,varchar,255,false,false,NULL,none,NULL,Upload laporan PDF
file_data_pendukung,File Data Pendukung,json,NULL,false,false,NULL,none,NULL,Array file pendukung
penanggung_jawab,Penanggung Jawab,varchar,255,true,false,Sekretaris,none,NULL,PIC
pelaksana,Pelaksana,varchar,255,true,false,Bidang Konsumsi,none,NULL,Yang menyusun
is_sensitive,Tingkat Sensitivitas,enum,NULL,true,false,Biasa,none,"Biasa,Sensitif",Klasifikasi data
status,Status,enum,NULL,true,false,draft,none,"draft,review,final",Status
keterangan,Keterangan,text,NULL,false,false,NULL,none,NULL,Catatan
created_by,Dibuat Oleh,int,11,true,false,NULL,none,NULL,User ID
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
