field_name,field_label,field_type,field_length,is_required,is_unique,default_value,validation,dropdown_options,help_text
id,ID,auto_increment,11,true,true,NULL,none,NULL,Primary Key
layanan_id,Layanan,varchar,10,true,false,LY048,none,NULL,FK ke layanan_menpanrb
periode,Periode,date,NULL,true,false,NULL,none,NULL,Bulan periode laporan (YYYY-MM-01)
tahun,Tahun,int,4,true,false,NULL,none,NULL,Tahun
bulan,Bulan,int,2,true,false,NULL,none,NULL,Bulan (1-12)
total_komoditas,Total Komoditas,int,11,false,false,NULL,none,NULL,Jumlah komoditas dipantau
total_stok,Total Stok (Ton),decimal,"15,2",false,false,NULL,none,NULL,Total stok pangan
stok_aman,Stok Aman,int,11,false,false,NULL,none,NULL,Jumlah komoditas stok aman
stok_menipis,Stok Menipis,int,11,false,false,NULL,none,NULL,Jumlah komoditas stok menipis
stok_kritis,Stok Kritis,int,11,false,false,NULL,none,NULL,Jumlah komoditas stok kritis
wilayah_rawan_pangan,Wilayah Rawan Pangan,int,11,false,false,NULL,none,NULL,Jumlah wilayah rawan
tingkat_kerawanan,Tingkat Kerawanan,enum,NULL,true,false,Aman,none,"Aman,Waspada,Rawan,Sangat Rawan",Tingkat kerawanan pangan
komoditas_kritis,Komoditas Kritis,text,NULL,false,false,NULL,none,NULL,Daftar komoditas yang kritis
produksi_pangan_total,Produksi Total (Ton),decimal,"15,2",false,false,NULL,none,NULL,Total produksi bulan ini
konsumsi_estimasi,Estimasi Konsumsi (Ton),decimal,"15,2",false,false,NULL,none,NULL,Estimasi kebutuhan
surplus_defisit,Surplus/Defisit (Ton),decimal,"15,2",false,false,NULL,none,NULL,Produksi - Konsumsi
analisis,Analisis,text,NULL,false,false,NULL,none,NULL,Analisis kondisi ketersediaan
rekomendasi,Rekomendasi,text,NULL,false,false,NULL,none,NULL,Rekomendasi tindakan
sumber_data,Sumber Data,varchar,255,false,false,Bidang Ketersediaan & Kerawanan Pangan,none,NULL,Dari bidang mana
file_laporan,File Laporan,varchar,255,false,false,NULL,none,NULL,Upload laporan PDF
file_data_pendukung,File Data Pendukung,json,NULL,false,false,NULL,none,NULL,Array file Excel/data
penanggung_jawab,Penanggung Jawab,varchar,255,true,false,Sekretaris,none,NULL,PIC
pelaksana,Pelaksana,varchar,255,true,false,Bidang Ketersediaan,none,NULL,Yang menyusun
is_sensitive,Tingkat Sensitivitas,enum,NULL,true,false,Biasa,none,"Biasa,Sensitif",Klasifikasi data
status,Status,enum,NULL,true,false,draft,none,"draft,review,final",Status
keterangan,Keterangan,text,NULL,false,false,NULL,none,NULL,Catatan
created_by,Dibuat Oleh,int,11,true,false,NULL,none,NULL,User ID
created_at,Dibuat Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
updated_at,Diperbarui Pada,timestamp,NULL,true,false,CURRENT_TIMESTAMP,none,NULL,
