frekuensi_level,frekuensi_label,dampak_level,dampak_label,skor,level_risiko,warna
5,"Hampir pasti terjadi",1,"Tidak Signifikan",9,2,"Hijau"
5,"Hampir pasti terjadi",2,"Minor",15,3,"Kuning"
5,"Hampir pasti terjadi",3,"Moderat",18,4,"Oranye"
5,"Hampir pasti terjadi",4,"Signifikan",23,5,"Merah"
5,"Hampir pasti terjadi",5,"Sangat Signifikan",25,5,"Merah"
4,"Sering terjadi",1,"Tidak Signifikan",6,2,"Hijau"
4,"Sering terjadi",2,"Minor",12,3,"Kuning"
4,"Sering terjadi",3,"Moderat",16,4,"Oranye"
4,"Sering terjadi",4,"Signifikan",19,4,"Oranye"
4,"Sering terjadi",5,"Sangat Signifikan",24,5,"Merah"
3,"Kadang terjadi",1,"Tidak Signifikan",4,1,"Biru"
3,"Kadang terjadi",2,"Minor",10,2,"Hijau"
3,"Kadang terjadi",3,"Moderat",14,3,"Kuning"
3,"Kadang terjadi",4,"Signifikan",17,4,"Oranye"
3,"Kadang terjadi",5,"Sangat Signifikan",22,5,"Merah"
2,"Jarang terjadi",1,"Tidak Signifikan",2,1,"Biru"
2,"Jarang terjadi",2,"Minor",7,2,"Hijau"
2,"Jarang terjadi",3,"Moderat",11,2,"Hijau"
2,"Jarang terjadi",4,"Signifikan",13,3,"Kuning"
2,"Jarang terjadi",5,"Sangat Signifikan",21,5,"Merah"
1,"Hampir tidak terjadi",1,"Tidak Signifikan",1,1,"Biru"
1,"Hampir tidak terjadi",2,"Minor",3,1,"Biru"
1,"Hampir tidak terjadi",3,"Moderat",5,1,"Biru"
1,"Hampir tidak terjadi",4,"Signifikan",8,2,"Hijau"
1,"Hampir tidak terjadi",5,"Sangat Signifikan",20,5,"Merah"
